feast_code,LFRI_name
09211000,Dom. 21 p. Pent.
09221000,Dom. 22 p. Pent.
09231000,Dom. 23 p. Pent.
09241000,Dom. 24 p. Pent.
09251000,Dom. 25 p. Pent.
09261000,Dom. 26 p. Pent.
09991010,Dom. ultima ante Adventum
10001000,Dom. in estate
10002000,Fer. 2 in estate
10003000,Fer. 3 in estate
10004000,Fer. 4 in estate
10005000,Fer. 5 in estate
10006000,Fer. 6 in estate
10007000,Sabbatis in estate
10100000,De Regum
10200000,De Sapientia
10300000,De Job
10400000,De Tobia
10500000,De Judith
10600000,De Esther
10700000,De Esdras
10800000,De Machabaeis
10900000,De Prophetis
11080100,Dom. mensis Augusti
11090100,Dom. mensis Septembris
11090409,Fer. 4 Q.T. Septembris
11090609,Fer. 6 Q.T. Septembris
11090709,Sabb. Q.T. Septembris
11100100,Dom. mensis Octobris
11110100,Dom. mensis Novembris
12001000,Comm. Apostolorum
12001008,"Comm. Apostolorum, infra oct."
12001010,"Comm. Apostolorum, vig."
12001100,Comm. unius Apostoli
12001110,"Comm. unius Apostoli, vig."
12001200,Comm. duorum Apostolorum
12002000,Comm. unius Martyris
12002100,Comm. unius Martyris Pontificis
12002200,Comm. unius Martyris non Pontificis
12003000,Comm. plurimorum Martyrum
12004000,Comm. unius Confessoris
12004100,Comm. unius Confessoris Pontificis
12004200,Comm. unius Confessoris Abbatis
12004300,Comm. unius Confessoris et Episcopi
12004400,Comm. unius Confessoris non Episcopus
12004500,Comm. unius Doctoris
12004700,Comm. unius Confessoris non Pontificis
12005000,Comm. plurimorum Confessorum
12005100,Comm. plurimorum Confessorum Pontificum
12005200,Comm. plurimorum Confessorum non Pontificum
12006000,Comm. plurimorum Virginum
12007000,Comm. unius Virginis Martyris
12007100,Comm. unius Virginis
12008000,In Dedicatione Ecclesiae
12010000,Comm. unius Abbatis
12011000,Comm. Evangelistarum
12012000,Comm. Conjungium
12013000,De Angelis
12019000,Comm. Apostolorum et Evangelistarum
12022000,Comm. unius Electae
12801000,Comm. Apostolorum TP
12801100,Comm. Apostolorum sive Martyrum TP
12802000,Comm. unius Martyris TP
12802300,Comm. Martyrum sive Confessorum TP
12803000,Comm. plurimorum Martyrum TP
12804000,Comm. unius Confessoris TP
12804100,Comm. unius Confessoris Pontificis TP
12804700,Comm. unius Confessoris non Pontificis TP
12807100,Comm. unius Virginis TP
12811000,Comm. Evangelistarum TP
12815000,Comm. Sanctorum atque Sanctarum TP
13001000,Pro defunctis
14010300,Genovefae
14011010,Pauli Heremitae
14011400,Hilarii
